iter	MAE	RMSE
0	2235.315314	2975.634546
5	2013.46537	2690.114058
10	1919.616668	2558.830283
15	1862.002535	2479.281573
20	1808.680759	2403.122219
25	1759.383427	2338.61364
30	1707.765314	2268.53045
35	1657.201946	2200.04647
40	1617.847044	2148.797678
45	1581.509932	2099.717804
50	1546.361599	2053.640678
55	1511.627004	2009.621185
60	1480.441061	1970.21566
65	1450.792169	1932.486653
70	1423.59747	1898.00567
75	1400.069014	1868.855218
80	1376.735095	1840.947229
85	1351.778025	1808.771855
90	1327.347785	1778.163964
95	1301.421138	1744.384236
100	1276.685675	1714.745453
105	1256.528323	1690.416666
110	1236.754922	1666.02867
115	1216.449031	1641.407149
120	1199.10764	1619.093128
125	1180.784882	1595.683662
130	1162.353067	1574.04201
135	1146.9295	1554.588773
140	1131.00183	1535.815175
145	1116.915892	1517.536565
150	1101.768848	1498.968273
155	1088.793579	1482.29005
160	1075.49486	1466.164011
165	1062.0279	1449.022391
170	1049.178211	1432.727206
175	1036.286016	1416.158957
180	1021.996466	1399.394106
185	1008.837366	1384.718539
190	998.2559441	1371.94238
195	986.0594399	1357.346916
200	975.2889122	1345.31996
205	963.2499449	1331.142478
210	951.8128134	1317.710617
215	941.887912	1305.922179
220	931.9815489	1293.044264
225	921.4217685	1280.757752
230	910.8132764	1268.599062
235	901.675594	1257.657064
240	892.5071955	1246.570477
245	882.891085	1235.608059
250	874.2309775	1225.583644
255	867.091865	1216.166948
260	859.7916476	1207.61064
265	851.9537415	1197.083024
270	843.5369591	1186.874577
275	835.8939767	1177.972518
280	824.979874	1165.912529
285	817.8382794	1157.329344
290	810.4272975	1149.438589
295	803.0215901	1140.077455
300	795.844858	1131.90988
305	788.9751328	1123.894127
310	781.7662883	1115.525414
315	775.4984766	1107.76932
320	769.7208054	1100.777849
325	763.4574925	1093.452221
330	756.3975751	1084.944205
335	750.7077089	1077.911534
340	744.8521613	1071.122324
345	738.9159449	1064.103177
350	733.5387479	1057.89707
355	727.8996876	1051.615028
360	721.7765367	1045.019252
365	715.5955991	1038.929005
370	709.7976832	1031.973668
375	703.9006377	1025.263394
380	698.511418	1019.239753
385	693.083803	1012.903883
390	688.3972551	1007.67467
