iter	Passed	Remaining
0	431	646101
1	847	634973
2	1281	639532
3	1688	631578
4	2158	645416
5	2563	638307
6	2983	636322
7	3414	636733
8	3867	640681
9	4370	651236
10	4832	654186
11	5224	647780
12	5556	635588
13	5907	627076
14	6235	617337
15	6559	608436
16	6915	603304
17	7239	596079
18	7576	590565
19	7995	591690
20	8325	586334
21	8677	582997
22	9035	580252
23	9379	576815
24	9716	573269
25	10095	572312
26	10524	574160
27	10978	577144
28	11455	581066
29	11927	584458
30	12336	584614
31	12795	586992
32	13280	590382
33	13751	592953
34	14184	593729
35	14647	595665
36	15082	596369
37	15434	593819
38	15839	593372
39	16206	591539
40	16561	589333
41	16922	587442
42	17317	586769
43	17700	585735
44	18062	584034
45	18422	582325
46	18778	580528
47	19154	579430
48	19517	577945
49	19871	576262
50	20254	575479
51	20723	577075
52	21189	578524
53	21646	579636
54	22122	581215
55	22590	582507
56	23056	583686
57	23506	584423
58	23955	585085
59	24425	586209
60	24888	587117
61	25302	586859
62	25673	585597
63	26039	584255
64	26451	583961
65	26823	582797
66	27165	581027
67	27539	579951
68	27908	578788
69	28277	577668
70	28625	576131
71	28991	574992
72	29341	573569
73	29712	572561
74	30128	572434
75	30589	573144
76	31035	573559
77	31507	574398
78	31973	575121
79	32430	575639
80	32873	575894
81	33338	576510
82	33805	577130
83	34272	577736
84	34706	577768
85	35181	578441
86	35631	578710
87	36011	577824
88	36373	576662
89	36750	575762
90	37135	574986
91	37529	574361
92	37892	573270
93	38280	572571
94	38639	571454
95	39038	570935
96	39428	570290
97	39776	569046
98	40144	568099
99	40587	568223
100	41063	568786
101	41499	568784
102	41974	569310
103	42461	569966
104	42882	569718
105	43340	569965
106	43808	570331
107	44258	570438
108	44691	570334
109	45149	570520
110	45560	570127
111	45947	569417
112	46291	568195
113	46657	567258
114	47044	566575
115	47402	565557
116	47750	564434
117	48104	563393
118	48488	562706
119	48851	561791
120	49195	560668
121	49565	559850
122	49922	558890
123	50288	558039
124	50773	558508
125	51264	559024
126	51747	559444
127	52223	559770
128	52800	561157
129	53297	561670
130	53761	561830
131	54218	561898
132	54685	562067
133	55136	562059
134	55550	561676
135	55916	560804
136	56281	559943
137	56675	559363
138	57023	558340
139	57386	557464
140	57750	556620
141	58109	555726
142	58478	554929
143	58852	554192
144	59207	553279
145	59610	552827
146	60031	552533
147	60396	551730
148	60811	551385
149	61281	551529
150	61749	551656
151	62199	551609
152	62684	551871
153	63177	552185
154	63647	552298
155	64179	552928
156	64663	553144
157	65091	552862
158	65581	553109
159	65966	552467
160	66346	551789
161	66715	551017
162	67080	550221
163	67451	549481
164	67819	548718
165	68185	547945
166	68546	547140
167	68969	546833
168	69415	546701
169	69787	545981
170	70167	545339
171	70602	545119
172	71131	545617
173	71597	545619
174	72063	545626
175	72597	546133
176	73086	546289
177	73624	546806
178	74134	547106
179	74661	547514
180	75165	547755
181	75633	547721
182	76029	547164
183	76393	546382
184	76784	545795
185	77162	545116
186	77525	544333
187	77897	543627
188	78263	542874
189	78616	542038
190	78992	541365
191	79362	540659
192	79729	539926
193	80107	539278
194	80468	538519
195	80893	538191
196	81417	538513
197	81893	538509
198	82417	538816
199	82899	538848
200	83396	538962
201	83880	538992
202	84369	539048
203	84848	539040
204	85307	538896
205	85818	539076
206	86189	538369
207	86539	537541
208	86924	536934
209	87324	536424
210	87722	535896
211	88100	535253
212	88482	534632
213	88850	533935
214	89215	533220
215	89577	532489
216	89946	531800
217	90353	531343
218	90734	530731
219	91155	530359
220	91655	530439
221	92122	530324
222	92629	530438
223	93107	530382
224	93607	530442
225	94104	530482
226	94595	530487
227	95070	530395
228	95563	530396
229	96040	530313
230	96416	529662
231	96824	529194
232	97210	528608
233	97580	527937
234	97940	527213
235	98310	526545
236	98694	525952
237	99079	525373
238	99447	524698
239	99834	524129
240	100208	523495
241	100609	523000
242	100984	522379
243	101464	522292
244	101956	522266
245	102470	522351
246	102970	522356
247	103475	522382
248	104001	522512
249	104476	522383
250	104972	522353
251	105452	522240
252	105949	522209
253	106324	521573
254	106701	520954
255	107034	520118
256	107504	519954
257	107867	519268
258	108239	518629
259	108615	518012
260	108963	517264
261	109398	516930
262	109769	516293
263	110119	515559
264	110482	514892
265	110847	514231
266	111216	513597
267	111762	513771
268	112254	513698
269	112762	513695
270	113219	513457
271	113741	513508
272	114234	513429
273	114736	513384
274	115216	513236
275	115713	513162
276	116195	513024
277	116565	512387
278	116961	511862
279	117379	511438
280	117774	510913
281	118154	510327
282	118523	509693
283	118910	509136
284	119366	508878
285	119820	508607
286	120252	508245
287	120734	508089
288	121104	507466
289	121524	507050
290	122044	507049
291	122572	507079
292	123099	507102
293	123606	507037
